==15578== NVPROF is profiling process 15578, command: ./lapGPU1 10000
==15578== Profiling application: ./lapGPU1 10000
==15578== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 46.45%  21.6444s     10000  2.1644ms  2.1331ms  2.1910ms  main_88_gpu
 26.57%  12.3779s     10000  1.2378ms  1.2362ms  1.2461ms  main_82_gpu
 23.09%  10.7603s     10000  1.0760ms  1.0746ms  1.0778ms  main_93_gpu
  3.76%  1.75105s     10000  175.11us  174.40us  176.61us  main_89_gpu_red
  0.09%  40.915ms     10008  4.0880us     960ns  4.4980ms  [CUDA memcpy HtoD]
  0.04%  20.007ms     10000  2.0000us  1.8870us  4.1280us  [CUDA memcpy DtoH]

==15578== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 48.58%  52.5421s     10000  5.2542ms  1.9128ms  198.11ms  cuMemcpyDtoHAsync
 48.30%  52.2438s     40001  1.3061ms     417ns  196.77ms  cuStreamSynchronize
  1.80%  1.94727s         2  973.63ms     373ns  1.94727s  cuDevicePrimaryCtxRetain
  0.51%  549.83ms         1  549.83ms  549.83ms  549.83ms  cuModuleLoadData
  0.46%  502.56ms     40000  12.563us  6.6520us  438.27us  cuLaunchKernel
  0.15%  162.00ms         6  26.999ms  1.8130us  159.01ms  cuEventSynchronize
  0.10%  112.24ms     10008  11.215us  8.2430us  47.226us  cuMemcpyHtoDAsync
  0.05%  53.147ms         1  53.147ms  53.147ms  53.147ms  cuDevicePrimaryCtxRelease
  0.03%  27.738ms         1  27.738ms  27.738ms  27.738ms  cuMemHostAlloc
  0.01%  13.120ms         1  13.120ms  13.120ms  13.120ms  cuMemFreeHost
  0.00%  4.0517ms         5  810.34us  157.20us  3.1129ms  cuMemAlloc
  0.00%  621.69us         1  621.69us  621.69us  621.69us  cuMemAllocHost
  0.00%  35.503us         7  5.0710us  2.0910us  13.006us  cuEventRecord
  0.00%  33.615us         1  33.615us  33.615us  33.615us  cuStreamCreate
  0.00%  12.291us         3  4.0970us     238ns  11.523us  cuCtxSetCurrent
  0.00%  6.4010us         4  1.6000us     165ns  5.8280us  cuModuleGetFunction
  0.00%  5.8120us         1  5.8120us  5.8120us  5.8120us  cuEventCreate
  0.00%  2.9810us         2  1.4900us     362ns  2.6190us  cuDeviceGetCount
  0.00%  2.1810us         1  2.1810us  2.1810us  2.1810us  cuMemFree
  0.00%     846ns         2     423ns     418ns     428ns  cuDeviceGet
  0.00%     542ns         1     542ns     542ns     542ns  cuDeviceComputeCapability
  0.00%     278ns         1     278ns     278ns     278ns  cuCtxGetCurrent
