Time(%),Time,Calls,Avg,Min,Max,Name
65.54%,24.0558s,10000,2.4056ms,2.3779ms,2.6925ms,main_83_gpu
29.51%,10.8338s,10000,1.0834ms,1.0750ms,1.1419ms,main_90_gpu
4.80%,1.76292s,10000,176.29us,174.65us,185.79us,main_85_gpu_red
0.10%,34.924ms,10008,3.4890us,959ns,3.3841ms,[CUDAmemcpyHtoD]
0.05%,19.161ms,10000,1.9160us,1.8560us,3.8720us,[CUDAmemcpyDtoH]
,,,,,,
