iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.000571,-2.709961e-02,25,25,25,4386279,12268703,0.002183941,610759,5580
125,0.003665,-2.500000e-01,50,50,50,268350343,624666294,0.094586809,18716651,331083
421,0.013741,-4.136719e+00,75,75,75,3072302260,6888954030,1.000073039,190543953,2447158
1000,0.026829,-2.570312e+01,100,100,100,19471080217,38448256001,6.401708838,1039262574,10208970
1953,0.053084,-6.367188e+01,125,125,125,85622232051,146125991206,27.662208501,3913228811,30996684
