iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.002194,-8.026291e-11,25,25,25,19049364,47501129,0.010981245,2570165,28083
124,0.018875,-2.528395e-10,50,50,50,1234408160,2659420479,0.412421878,118361787,389955
421,0.037833,8.221832e-10,75,75,75,17354988810,29729415222,5.660343661,1286274640,2560392
999,0.105298,-7.668859e-09,100,100,100,104515233675,166450987324,33.809449427,7134152518,10444351
1953,0.166269,5.587935e-08,125,125,125,401266530839,634491864245,128.465134351,27076171102,31323850
