iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.000456,-8.026291e-11,25,25,25,4801147,12122683,0.002176720,608818,5545
124,0.006662,-2.528395e-10,50,50,50,281466400,625064088,0.099509731,18808710,317735
421,0.012831,8.221832e-10,75,75,75,5203694697,6886924727,1.715530576,190555840,2434566
999,0.027894,-7.668859e-09,100,100,100,22468979996,38405932421,7.226989975,1038273288,10208432
1953,0.048657,5.587935e-08,125,125,125,81756457304,146113530336,26.838166403,3913149320,30998323
