iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.000570,-2.709961e-02,25,25,25,4552882,12397830,0.002243924,630770,5714
125,0.003176,-2.500000e-01,50,50,50,309206726,626006640,0.105560610,19076982,284485
421,0.015133,-4.136719e+00,75,75,75,3379472132,6896980486,1.103652230,193038354,2454271
1000,0.029819,-2.570312e+01,100,100,100,19694211752,38479887880,6.273408921,1049531045,10239955
1953,0.050139,-6.367188e+01,125,125,125,81430291876,146220126292,26.492774410,3944253271,31008402
