iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.002405,-2.709961e-02,25,25,25,18152394,47895032,0.011026212,2575671,32846
125,0.013197,-2.500000e-01,50,50,50,1188512609,2664625434,0.387875478,118606658,382552
421,0.041332,-4.136719e+00,75,75,75,14781077091,29734628525,4.827323747,1286240205,2527586
1000,0.091819,-2.570312e+01,100,100,100,91984683745,166627186897,29.679911680,7141151180,10394880
1953,0.170672,-6.367188e+01,125,125,125,315701583170,634525151516,101.166915294,27076379816,31224968
