iter,init,acc,nx,ny,nz,cycl,inst,time,br,brmiss
15,0.002240,-2.709961e-02,25,25,25,18355607,47895042,0.009997719,2575676,32452
125,0.012853,-2.500000e-01,50,50,50,1186153812,2664625526,0.378818708,118606748,381205
421,0.039503,-4.136719e+00,75,75,75,14346935083,29734629245,4.590474955,1286240923,2517550
1000,0.089312,-2.570312e+01,100,100,100,90289115406,166627190112,29.345934917,7141154397,10397648
1953,0.174800,-6.367188e+01,125,125,125,317999225615,634525153944,100.935376147,27076382244,31319630
